,Customer ID,NombreCommandes,DateDerniereCommande,MontantTotal_x,TransactionAnnulation,Recency,Country,MontantTotal_y,NombreArticles_y,PourcentageAnnulationMontant,NombreArticlesMoyenParCommande,PanierMoyen
0,12346.0,3.0,2011-01-18 10:17:00,169.36000000000058,1.0,325,United Kingdom,77352.96,74239.0,99.78105556658724,24746.333333333332,25784.320000000003
10,12356.0,6.0,2011-11-17 08:40:00,5613.68,0.0,22,Portugal,5613.68,3377.0,0.0,562.8333333333334,935.6133333333333
11,12357.0,2.0,2011-11-06 16:07:00,17437.66,0.0,33,Switzerland,17437.66,6586.0,0.0,3293.0,8718.83
33,12378.0,2.0,2011-08-02 10:34:00,5416.32,0.0,129,Switzerland,5416.32,3316.0,0.0,1658.0,2708.16
39,12385.0,1.0,2010-11-25 15:14:00,1668.4,0.0,379,Belgium,1668.4,594.0,0.0,594.0,1668.4
51,12396.0,1.0,2010-02-03 13:22:00,931.43,0.0,674,RSA,931.43,591.0,0.0,591.0,931.43
52,12397.0,2.0,2011-11-04 09:52:00,2214.9,0.0,35,Belgium,2214.9,1250.0,0.0,625.0,1107.45
53,12398.0,1.0,2011-10-25 10:27:00,1435.66,0.0,45,Switzerland,1435.66,1389.0,0.0,1389.0,1435.66
59,12405.0,1.0,2011-07-14 08:52:00,1390.39,0.0,148,Finland,1390.39,849.0,0.0,849.0,1390.39
60,12406.0,5.0,2011-11-17 19:22:00,6072.21,2.0,22,Denmark,6390.36,3416.0,4.978592755337722,683.2,1278.072
63,12409.0,7.0,2011-09-22 10:38:00,23090.47,6.0,78,Switzerland,23419.29,13143.0,1.404056228860908,1877.5714285714287,3345.612857142857
70,12415.0,24.0,2011-11-15 14:22:00,143107.02,4.0,24,Australia,144033.37,91443.0,0.6431495701308703,3810.125,6001.390416666666
83,12425.0,2.0,2011-09-22 17:31:00,1680.81,1.0,78,Portugal,1741.41,1147.0,3.479938670387797,573.5,870.705
93,12433.0,10.0,2011-12-09 10:02:00,20581.26,0.0,0,Norway,20581.26,17116.0,0.0,1711.6,2058.1259999999997
95,12435.0,6.0,2011-09-21 09:06:00,13925.93,0.0,79,Denmark,13925.93,4958.0,0.0,826.3333333333334,2320.9883333333332
98,12438.0,2.0,2011-11-25 13:28:00,2466.85,0.0,14,Norway,2466.85,1169.0,0.0,584.5,1233.425
112,12451.0,8.0,2011-11-29 08:40:00,12506.53,2.0,10,Switzerland,12629.88,9358.0,0.9766521930532875,1169.75,1578.735
115,12454.0,4.0,2011-10-17 15:07:00,4098.96,3.0,53,Spain,16459.78,7702.0,75.09711551430213,1925.5,4114.945
131,12469.0,2.0,2010-07-05 12:40:00,3070.54,0.0,522,Thailand,3070.54,2552.0,0.0,1276.0,1535.27
134,12472.0,19.0,2011-11-09 11:33:00,15570.69,18.0,30,Germany,16494.59,11273.0,5.601230464049119,593.3157894736842,868.1363157894737
135,12473.0,3.0,2011-10-17 11:27:00,2555.77,1.0,53,Germany,2596.23,2419.0,1.5584135457952506,806.3333333333334,865.41
139,12477.0,9.0,2011-11-17 09:51:00,20173.64,3.0,22,Germany,20276.37,6119.0,0.5066488725546021,679.8888888888889,2252.93
144,12482.0,27.0,2010-05-12 16:51:00,21941.72,0.0,576,Sweden,21941.72,27040.0,0.0,1001.4814814814815,812.6562962962963
159,12497.0,3.0,2011-09-19 12:29:00,5996.5,0.0,81,Germany,5996.5,5671.0,0.0,1890.3333333333333,1998.8333333333333
163,12501.0,1.0,2011-01-28 13:54:00,1945.68,1.0,315,Germany,2025.39,1775.0,3.9355383407640026,1775.0,2025.39
165,12503.0,1.0,2010-05-04 13:59:00,896.0,0.0,584,Spain,896.0,560.0,0.0,560.0,896.0
173,12511.0,1.0,2010-10-21 10:58:00,3065.77,1.0,414,Greece,3084.02,1753.0,0.5917601053170861,1753.0,3084.02
193,12531.0,2.0,2011-11-25 11:12:00,1737.05,1.0,14,Germany,1771.2,1110.0,1.9280713640469789,555.0,885.6
196,12534.0,1.0,2011-08-01 10:26:00,981.18,0.0,130,Germany,981.18,645.0,0.0,645.0,981.18
198,12536.0,1.0,2011-12-02 12:43:00,4151.26,1.0,7,France,4279.71,2801.0,3.0013715882618173,2801.0,4279.71
