,Customer ID,NombreCommandes,DateDerniereCommande,MontantTotal_x,TransactionAnnulation,Recency,Country,MontantTotal_y,NombreArticles_y,PourcentageAnnulationMontant,NombreArticlesMoyenParCommande,PanierMoyen
1,12347.0,8.0,2011-12-07 15:52:00,5633.32,0.0,2,Iceland,5633.32,3286.0,0.0,410.75,704.165
2,12348.0,5.0,2011-09-25 13:13:00,1658.3999999999999,0.0,75,Finland,1658.4,2704.0,1.3710424230778585e-14,540.8,331.68
3,12349.0,3.0,2011-11-21 09:51:00,3654.54,1.0,18,Italy,3678.69,1621.0,0.6564836939236546,540.3333333333334,1226.23
4,12350.0,1.0,2011-02-02 16:01:00,294.4,0.0,310,Norway,294.4,196.0,0.0,196.0,294.4
5,12351.0,1.0,2010-11-29 15:23:00,300.93,0.0,375,Unspecified,300.93,261.0,0.0,261.0,300.93
6,12352.0,9.0,2011-11-03 14:37:00,1609.21,1.0,36,Norway,1729.54,714.0,6.957341258369273,79.33333333333333,192.17111111111112
7,12353.0,2.0,2011-05-19 17:47:00,406.76,0.0,204,Bahrain,406.76,212.0,0.0,106.0,203.38
8,12354.0,1.0,2011-04-21 13:11:00,1079.4,0.0,232,Spain,1079.4,530.0,0.0,530.0,1079.4
9,12355.0,2.0,2011-05-09 13:49:00,947.61,0.0,214,Bahrain,947.61,543.0,0.0,271.5,473.805
10,12356.0,6.0,2011-11-17 08:40:00,5613.68,0.0,22,Portugal,5613.68,3377.0,0.0,562.8333333333334,935.6133333333333
12,12358.0,5.0,2011-12-08 10:26:00,3447.07,0.0,1,Austria,3447.07,1068.0,0.0,213.6,689.414
13,12359.0,10.0,2011-12-02 11:21:00,8714.89,4.0,7,Cyprus,8935.94,2752.0,2.4737184896049107,275.2,893.594
14,12360.0,6.0,2011-10-18 15:22:00,3612.89,0.0,52,Austria,3612.89,2443.0,0.0,407.1666666666667,602.1483333333333
15,12361.0,4.0,2011-02-25 13:51:00,451.25,0.0,287,Belgium,451.25,231.0,0.0,57.75,112.8125
16,12362.0,10.0,2011-12-06 15:40:00,4665.58,3.0,3,Belgium,4737.23,2197.0,1.5124872552103157,219.7,473.72299999999996
17,12363.0,2.0,2011-08-22 10:18:00,552.0,0.0,109,Unspecified,552.0,408.0,0.0,204.0,276.0
18,12364.0,4.0,2011-12-02 10:22:00,1208.1,0.0,7,Belgium,1208.1,1499.0,0.0,374.75,302.025
19,12365.0,1.0,2011-02-21 13:51:00,320.69,0.0,291,Cyprus,320.69,173.0,0.0,173.0,320.69
20,12366.0,1.0,2010-03-16 10:28:00,500.24,0.0,633,Cyprus,500.24,296.0,0.0,296.0,500.24
21,12367.0,1.0,2011-12-05 16:48:00,150.9,0.0,4,Denmark,150.9,172.0,0.0,172.0,150.9
22,12368.0,1.0,2010-03-21 15:56:00,917.6999999999999,0.0,628,Cyprus,917.7,330.0,1.2388235558637466e-14,330.0,917.7
23,12369.0,3.0,2010-10-22 13:13:00,1511.15,0.0,413,Austria,1511.15,1234.0,0.0,411.3333333333333,503.7166666666667
24,12370.0,7.0,2011-10-19 14:51:00,3960.31,0.0,51,Austria,3960.31,2596.0,0.0,370.85714285714283,565.7585714285714
25,12370.0,7.0,2011-10-19 14:51:00,3960.31,0.0,51,Cyprus,3960.31,2596.0,0.0,370.85714285714283,565.7585714285714
26,12371.0,4.0,2011-10-11 10:43:00,3347.38,0.0,59,Switzerland,3347.38,1418.0,0.0,354.5,836.845
27,12372.0,3.0,2011-09-29 12:12:00,1196.04,0.0,71,Denmark,1196.04,788.0,0.0,262.6666666666667,398.68
28,12373.0,3.0,2011-02-01 13:10:00,927.6500000000001,0.0,311,Austria,927.65,511.0,-1.2255358995484938e-14,170.33333333333334,309.21666666666664
29,12374.0,3.0,2011-11-14 15:37:00,2669.22,0.0,25,Austria,2669.22,1354.0,0.0,451.3333333333333,889.7399999999999
30,12375.0,2.0,2011-12-07 11:27:00,375.42,1.0,2,Finland,377.5,176.0,0.5509933774834396,88.0,188.75
31,12376.0,2.0,2010-11-15 12:15:00,383.15,0.0,389,Switzerland,383.15,237.0,0.0,118.5,191.575
