NuméroClient,NombreCommandes,DateDerniereCommande,MontantEffectif,TransactionAnnulation,Récence,MontantGlobal,NombreArticlesTotal,PourcentageAnnulationMontant,NombreArticlesMoyenParCommande,PanierMoyen,Pays
12347.0,5.0,2011-06-09 13:01:00,3529.27,0.0,50,5633.32,3286.0,37.3500884025761,657.2,1126.664,Iceland
12348.0,4.0,2011-04-05 10:47:00,1388.3999999999999,0.0,115,1658.4,2704.0,16.280752532561518,676.0,414.6,Finland
12349.0,2.0,2010-10-28 08:23:00,2196.99,1.0,274,3678.69,1621.0,40.2779250222226,810.5,1839.345,Italy
12350.0,1.0,2011-02-02 16:01:00,294.4,0.0,177,294.4,196.0,0.0,196.0,294.4,Norway
12351.0,1.0,2010-11-29 15:23:00,300.93,0.0,242,300.93,261.0,0.0,261.0,300.93,Unspecified
12352.0,6.0,2011-03-22 16:08:00,864.98,1.0,129,1729.54,714.0,49.98785804317911,119.0,288.25666666666666,Norway
12353.0,2.0,2011-05-19 17:47:00,406.76,0.0,70,406.76,212.0,0.0,106.0,203.38,Bahrain
12354.0,1.0,2011-04-21 13:11:00,1079.4,0.0,99,1079.4,530.0,0.0,530.0,1079.4,Spain
12355.0,2.0,2011-05-09 13:49:00,947.61,0.0,81,947.61,543.0,0.0,271.5,473.805,Bahrain
12356.0,5.0,2011-04-08 12:33:00,5555.33,0.0,112,5613.68,3377.0,1.0394251186387604,675.4,1122.736,Portugal
12358.0,4.0,2011-07-12 10:04:00,2923.87,0.0,17,3447.07,1068.0,15.178107784292175,267.0,861.7675,Austria
12359.0,9.0,2011-06-03 12:26:00,5929.29,3.0,56,8935.94,2752.0,33.6467120414864,305.77777777777777,992.8822222222223,Cyprus
12360.0,4.0,2011-05-23 09:43:00,2234.41,0.0,67,3612.89,2443.0,38.1544968155687,610.75,903.2225,Austria
12361.0,4.0,2011-02-25 13:51:00,451.25,0.0,154,451.25,231.0,0.0,57.75,112.8125,Belgium
12362.0,3.0,2011-07-07 12:32:00,1153.2,1.0,22,4737.23,2197.0,75.65666011572164,732.3333333333334,1579.0766666666666,Belgium
12363.0,1.0,2011-04-11 13:29:00,299.1,0.0,109,552.0,408.0,45.815217391304344,408.0,552.0,Unspecified
12365.0,1.0,2011-02-21 13:51:00,320.69,0.0,158,320.69,173.0,0.0,173.0,320.69,Cyprus
12366.0,1.0,2010-03-16 10:28:00,500.24,0.0,500,500.24,296.0,0.0,296.0,500.24,Cyprus
12368.0,1.0,2010-03-21 15:56:00,917.6999999999999,0.0,495,917.7,330.0,1.2388235558637466e-14,330.0,917.7,Cyprus
12369.0,3.0,2010-10-22 13:13:00,1511.15,0.0,280,1511.15,1234.0,0.0,411.3333333333333,503.7166666666667,Austria
12370.0,6.0,2011-03-10 12:48:00,3221.03,0.0,141,3960.31,2596.0,18.66722554547497,432.6666666666667,660.0516666666666,Austria
